"Title","Description","Task"
"Advanced Practice Psychiatric Nurses","Assess, diagnose, and treat individuals and families with mental health or substance use disorders or the potential for such disorders. Apply therapeutic activities, including the prescription of medication, per state regulations, and the administration of psychotherapy.","Assess patients' mental and physical status, based on the presenting symptoms and complaints.; Diagnose psychiatric disorders and mental health conditions.; Document patients' medical and psychological histories, physical assessment results, diagnoses, treatment plans, prescriptions, or outcomes.; Educate patients and family members about mental health and medical conditions, preventive health measures, medications, or treatment plans.; Write prescriptions for psychotropic medications as allowed by state regulations and collaborative practice agreements.; Monitor patients' medication usage and results.; Evaluate patients' behavior to formulate diagnoses or assess treatments.; Distinguish between physiologically- and psychologically-based disorders, and diagnose appropriately.; Develop and implement treatment plans.; Conduct individual, group, or family psychotherapy for those with chronic or acute mental disorders.; Participate in activities aimed at professional growth and development, including conferences or continuing education activities.; Collaborate with interdisciplinary team members, including psychiatrists, psychologists, or nursing staff, to develop, implement, or evaluate treatment plans.; Consult with psychiatrists or other professionals when unusual or complex cases are encountered.; Refer patients requiring more specialized or complex treatment to psychiatrists, primary care physicians, or other medical specialists.; Participate in treatment team conferences regarding diagnosis or treatment of difficult cases.; Interpret diagnostic or laboratory tests, such as electrocardiograms (EKGs) and renal functioning tests.; Develop practice protocols for mental health problems, based on review and evaluation of published research.; Provide routine physical health screenings to detect or monitor problems such as heart disease and diabetes.; Administer medications, including those administered by injection.; Develop, implement, or evaluate programs such as outreach activities, community mental health programs, and crisis situation response activities."
"Advertising and Promotions Managers","Plan, direct, or coordinate advertising policies and programs or produce collateral materials, such as posters, contests, coupons, or giveaways, to create extra interest in the purchase of a product or service for a department, an entire organization, or on an account basis.","Plan and prepare advertising and promotional material to increase sales of products or services, working with customers, company officials, sales departments, and advertising agencies.; Inspect layouts and advertising copy, and edit scripts, audio, video, and other promotional material for adherence to specifications.; Confer with department heads or staff to discuss topics such as contracts, selection of advertising media, or product to be advertised.; Coordinate with the media to disseminate advertising.; Coordinate activities of departments, such as sales, graphic arts, media, finance, and research.; Plan and execute advertising policies and strategies for organizations.; Direct, motivate, and monitor the mobilization of a campaign team to advance campaign goals.; Prepare budgets and submit estimates for program costs as part of campaign plan development.; Contact organizations to explain services and facilities offered.; Monitor and analyze sales promotion results to determine cost effectiveness of promotion campaigns.; Identify and develop contacts for promotional campaigns and industry programs that meet identified buyer targets, such as dealers, distributors, or consumers.; Track program budgets, expenses, and campaign response rates to evaluate each campaign, based on program objectives and industry norms.; Read trade journals and professional literature to stay informed on trends, innovations, and changes that affect media planning."
"Advertising Sales Agents","Sell or solicit advertising space, time, or media in publications, signage, TV, radio, or Internet establishments or public spaces.","Prepare and deliver sales presentations to new and existing customers to sell new advertising programs and to protect and increase existing advertising.; Maintain assigned account bases while developing new accounts.; Provide clients with estimates of the costs of advertising products or services.; Locate and contact potential clients to offer advertising services.; Explain to customers how specific types of advertising will help promote their products or services in the most effective way possible.; Obtain and study information about clients' products, needs, problems, advertising history, and business practices to offer effective sales presentations and appropriate product assistance.; Prepare promotional plans, sales literature, media kits, and sales contracts, using computer.; Process all correspondence and paperwork related to accounts.; Draw up contracts for advertising work, and collect payments due.; Deliver advertising or illustration proofs to customers for approval.; Inform customers of available options for advertisement artwork, and provide samples.; Recommend appropriate sizes and formats for advertising, depending on medium used.; Write copy as part of layout.; Determine advertising medium to be used, and prepare sample advertisements within the selected medium for presentation to customers.; Gather all relevant material for bid processes, and coordinate bidding and contract approval.; Consult with company officials, sales departments, and advertising agencies to develop promotional plans.; Identify new advertising markets, and propose products to serve them.; Arrange for commercial taping sessions, and accompany clients to sessions.; Attend sales meetings, industry trade shows, and training seminars to gather information, promote products, expand network of contacts, and increase knowledge."
"Aerospace Engineering and Operations Technologists and Technicians","Operate, install, adjust, and maintain integrated computer/communications systems, consoles, simulators, and other data acquisition, test, and measurement instruments and equipment, which are used to launch, track, position, and evaluate air and space vehicles. May record and interpret test data.","Test aircraft systems under simulated operational conditions, performing systems readiness tests and pre- and post-operational checkouts, to establish design or fabrication parameters.; Identify required data, data acquisition plans, and test parameters, setting up equipment to conform to these specifications.; Inspect, diagnose, maintain, and operate test setups and equipment to detect malfunctions.; Confer with engineering personnel regarding details and implications of test procedures and results.; Operate and calibrate computer systems and devices to comply with test requirements and to perform data acquisition and analysis.; Record and interpret test data on parts, assemblies, and mechanisms.; Adjust, repair, or replace faulty components of test setups and equipment.; Fabricate and install parts and systems to be tested in test equipment, using hand tools, power tools, and test instruments."
"Aerospace Engineers","Perform engineering duties in designing, constructing, and testing aircraft, missiles, and spacecraft. May conduct basic and applied research to evaluate adaptability of materials and equipment to aircraft design and manufacture. May recommend improvements in testing equipment and techniques.","Formulate mathematical models or other methods of computer analysis to develop, evaluate, or modify design, according to customer engineering requirements.; Plan or conduct experimental, environmental, operational, or stress tests on models or prototypes of aircraft or aerospace systems or equipment.; Formulate conceptual design of aeronautical or aerospace products or systems to meet customer requirements or conform to environmental regulations.; Plan or coordinate investigation and resolution of customers' reports of technical problems with aircraft or aerospace vehicles.; Write technical reports or other documentation, such as handbooks or bulletins, for use by engineering staff, management, or customers.; Direct or coordinate activities of engineering or technical personnel involved in designing, fabricating, modifying, or testing of aircraft or aerospace products.; Evaluate product data or design from inspections or reports for conformance to engineering principles, customer requirements, environmental regulations, or quality standards.; Develop design criteria for aeronautical or aerospace products or systems, including testing methods, production costs, quality standards, environmental standards, or completion dates.; Analyze project requests, proposals, or engineering data to determine feasibility, productibility, cost, or production time of aerospace or aeronautical products.; Maintain records of performance reports for future reference."
"Agents and Business Managers of Artists, Performers, and Athletes","Represent and promote artists, performers, and athletes in dealings with current or prospective employers. May handle contract negotiation and other business matters for clients.","Collect fees, commissions, or other payments, according to contract terms.; Send samples of clients' work and other promotional material to potential employers to obtain auditions, sponsorships, or endorsement deals.; Keep informed of industry trends and deals.; Conduct auditions or interviews to evaluate potential clients.; Negotiate with managers, promoters, union officials, and other persons regarding clients' contractual rights and obligations.; Confer with clients to develop strategies for their careers, and to explain actions taken on their behalf.; Develop contacts with individuals and organizations, and apply effective strategies and techniques to ensure their clients' success.; Schedule promotional or performance engagements for clients.; Arrange meetings concerning issues involving their clients."
"Agricultural Engineers","Apply knowledge of engineering technology and biological science to agricultural problems concerned with power and machinery, electrification, structures, soil and water conservation, and processing of agricultural products.","Prepare reports, sketches, working drawings, specifications, proposals, and budgets for proposed sites or systems.; Visit sites to observe environmental problems, to consult with contractors, or to monitor construction activities.; Meet with clients, such as district or regional councils, farmers, and developers, to discuss their needs.; Discuss plans with clients, contractors, consultants, and other engineers so that they can be evaluated and necessary changes made.; Test agricultural machinery and equipment to ensure adequate performance.; Plan and direct construction of rural electric-power distribution systems, and irrigation, drainage, and flood control systems for soil and water conservation.; Provide advice on water quality and issues related to pollution management, river control, and ground and surface water resources.; Design structures for crop storage, animal shelter and loading, and animal and crop processing, and supervise their construction.; Conduct educational programs that provide farmers or farm cooperative members with information that can help them improve agricultural productivity.; Design sensing, measuring, and recording devices, and other instrumentation used to study plant or animal life.; Design agricultural machinery components and equipment, using computer-aided design (CAD) technology.; Design and supervise environmental and land reclamation projects in agriculture and related industries."
"Agricultural Equipment Operators","Drive and control equipment to support agricultural activities such as tilling soil; planting, cultivating, and harvesting crops; feeding and herding livestock; or removing animal waste. May perform tasks such as crop baling or hay bucking. May operate stationary equipment to perform post-harvest tasks such as husking, shelling, threshing, and ginning.","Load and unload crops or containers of materials, manually or using conveyors, handtrucks, forklifts, or transfer augers.; Mix specified materials or chemicals, and dump solutions, powders, or seeds into planter or sprayer machinery.; Spray fertilizer or pesticide solutions to control insects, fungus and weed growth, and diseases, using hand sprayers.; Observe and listen to machinery operation to detect equipment malfunctions.; Manipulate controls to set, activate, and adjust mechanisms on machinery.; Operate or tend equipment used in agricultural production, such as tractors, combines, and irrigation equipment.; Adjust, repair, and service farm machinery and notify supervisors when machinery malfunctions.; Attach farm implements such as plows, discs, sprayers, or harvesters to tractors, using bolts and hand tools."
"Agricultural Inspectors","Inspect agricultural commodities, processing equipment, and facilities, and fish and logging operations, to ensure compliance with regulations and laws governing health, quality, and safety.","Inspect food products and processing procedures to determine whether products are safe to eat.; Interpret and enforce government acts and regulations and explain required standards to agricultural workers."
"Agricultural Sciences Teachers, Postsecondary","Teach courses in the agricultural sciences. Includes teachers of agronomy, dairy sciences, fisheries management, horticultural sciences, poultry sciences, range management, and agricultural soil conservation. Includes both teachers primarily engaged in teaching and those who do a combination of teaching and research.","Keep abreast of developments in the field by reading current literature, talking with colleagues, and participating in professional conferences.; Advise students on academic and vocational curricula and on career issues.; Supervise undergraduate or graduate teaching, internship, and research work.; Supervise laboratory sessions and field work and coordinate laboratory operations.; Conduct research in a particular field of knowledge and publish findings in professional journals, books, or electronic media.; Prepare and deliver lectures to undergraduate or graduate students on topics such as crop production, plant genetics, and soil chemistry.; Collaborate with colleagues to address teaching and research issues.; Prepare course materials, such as syllabi, homework assignments, and handouts.; Evaluate and grade students' class work, laboratory work, assignments, and papers.; Maintain regularly scheduled office hours to advise and assist students.; Initiate, facilitate, and moderate classroom discussions.; Plan, evaluate, and revise curricula, course content, and course materials and methods of instruction.; Compile, administer, and grade examinations, or assign this work to others.; Maintain student attendance records, grades, and other required records.; Participate in student recruitment, registration, and placement activities.; Select and obtain materials and supplies, such as textbooks and laboratory equipment.; Act as advisers to student organizations.; Write grant proposals to procure external research funding.; Serve on academic or administrative committees that deal with institutional policies, departmental matters, and academic issues.; Participate in campus and community events.; Provide professional consulting services to government or industry.; Compile bibliographies of specialized materials for outside reading assignments."
"Agricultural Technicians","Work with agricultural scientists in plant, fiber, and animal research, or assist with animal breeding and nutrition. Set up or maintain laboratory equipment and collect samples from crops or animals. Prepare specimens or record data to assist scientists in biology or related life science experiments. Conduct tests and experiments to improve yield and quality of crops or to increase the resistance of plants and animals to disease or insects.","Prepare land for cultivated crops, orchards, or vineyards by plowing, discing, leveling, or contouring.; Operate farm machinery, including tractors, plows, mowers, combines, balers, sprayers, earthmoving equipment, or trucks.; Record data pertaining to experimentation, research, or animal care.; Maintain or repair agricultural facilities, equipment, or tools to ensure operational readiness, safety, and cleanliness.; Perform crop production duties, such as tilling, hoeing, pruning, weeding, or harvesting crops.; Collect animal or crop samples.; Examine animals or crop specimens to determine the presence of diseases or other problems.; Set up laboratory or field equipment as required for site testing.; Supervise or train agricultural technicians or farm laborers."
"Air Traffic Controllers","Control air traffic on and within vicinity of airport, and movement of air traffic between altitude sectors and control centers, according to established procedures and policies. Authorize, regulate, and control commercial airline flights according to government or company regulations to expedite and ensure flight safety.","Inform pilots about nearby planes or potentially hazardous conditions, such as weather, speed and direction of wind, or visibility problems.; Issue landing and take-off authorizations or instructions.; Transfer control of departing flights to traffic control centers and accept control of arriving flights.; Provide flight path changes or directions to emergency landing fields for pilots traveling in bad weather or in emergency situations.; Alert airport emergency services in cases of emergency or when aircraft are experiencing difficulties.; Monitor or direct the movement of aircraft within an assigned air space or on the ground at airports to minimize delays and maximize safety.; Direct pilots to runways when space is available or direct them to maintain a traffic pattern until there is space for them to land.; Monitor aircraft within a specific airspace, using radar, computer equipment, or visual references.; Direct ground traffic, including taxiing aircraft, maintenance or baggage vehicles, or airport workers.; Contact pilots by radio to provide meteorological, navigational, or other information.; Maintain radio or telephone contact with adjacent control towers, terminal control units, or other area control centers to coordinate aircraft movement.; Determine the timing or procedures for flight vector changes.; Initiate or coordinate searches for missing aircraft.; Provide on-the-job training to new air traffic controllers.; Check conditions and traffic at different altitudes in response to pilots' requests for altitude changes.; Relay air traffic information, such as courses, altitudes, or expected arrival times, to control centers.; Inspect, adjust, or control radio equipment or airport lights.; Compile information about flights from flight plans, pilot reports, radar, or observations.; Organize flight plans or traffic management plans to prepare for planes about to enter assigned airspace.; Review records or reports for clarity and completeness and maintain records or reports, as required under federal law.; Complete daily activity reports and keep records of messages from aircraft."
"Aircraft Cargo Handling Supervisors","Supervise and coordinate the activities of ground crew in the loading, unloading, securing, and staging of aircraft cargo or baggage. May determine the quantity and orientation of cargo and compute aircraft center of gravity. May accompany aircraft as member of flight crew and monitor and handle cargo in flight, and assist and brief passengers on safety and emergency procedures. Includes loadmasters.","Determine the quantity and orientation of cargo, and compute an aircraft's center of gravity.; Direct ground crews in the loading, unloading, securing, or staging of aircraft cargo or baggage.; Train new employees in areas such as safety procedures or equipment operation.; Distribute cargo to maximize use of space."
"Aircraft Mechanics and Service Technicians","Diagnose, adjust, repair, or overhaul aircraft engines and assemblies, such as hydraulic and pneumatic systems.","Examine and inspect aircraft components, including landing gear, hydraulic systems, and deicers to locate cracks, breaks, leaks, or other problems.; Conduct routine and special inspections as required by regulations.; Inspect completed work to certify that maintenance meets standards and that aircraft are ready for operation.; Read and interpret maintenance manuals, service bulletins, and other specifications to determine the feasibility and method of repairing or replacing malfunctioning or damaged components.; Maintain repair logs, documenting all preventive and corrective aircraft maintenance.; Modify aircraft structures, space vehicles, systems, or components, following drawings, schematics, charts, engineering orders, and technical publications.; Inspect airframes for wear or other defects.; Measure parts for wear, using precision instruments.; Obtain fuel and oil samples and check them for contamination.; Maintain, repair, and rebuild aircraft structures, functional components, and parts, such as wings and fuselage, rigging, hydraulic units, oxygen systems, fuel systems, electrical systems, gaskets, or seals.; Replace or repair worn, defective, or damaged components, using hand tools, gauges, and testing equipment.; Read and interpret pilots' descriptions of problems to diagnose causes.; Test operation of engines and other systems, using test equipment, such as ignition analyzers, compression checkers, distributor timers, or ammeters.; Measure the tension of control cables.; Spread plastic film over areas to be repaired to prevent damage to surrounding areas.; Remove or install aircraft engines, using hoists or forklift trucks.; Assemble and install electrical, plumbing, mechanical, hydraulic, and structural components and accessories, using hand or power tools.; Locate and mark dimensions and reference lines on defective or replacement parts, using templates, scribes, compasses, and steel rules.; Fabricate defective sections or parts, using metal fabricating machines, saws, brakes, shears, and grinders.; Reassemble engines following repair or inspection and reinstall engines in aircraft.; Service and maintain aircraft and related apparatus by performing activities such as flushing crankcases, cleaning screens, and or moving parts.; Clean, refuel, and change oil in line service aircraft.; Trim and shape replacement body sections to specified sizes and fits and secure sections in place, using adhesives, hand tools, and power tools.; Accompany aircraft on flights to make in-flight adjustments and corrections.; Remove or cut out defective parts or drill holes to gain access to internal defects or damage, using drills and punches.; Install and align repaired or replacement parts for subsequent riveting or welding, using clamps and wrenches.; Inventory and requisition or order supplies, parts, materials, and equipment.; Clean, strip, prime, and sand structural surfaces and materials to prepare them for bonding.; Communicate with other workers to coordinate fitting and alignment of heavy parts, or to facilitate processing of repair parts."
